SKU,Name,Categories,Regular price,Sale price,Attribute 1 value(s),Attribute 1 name,Images,ImagesUrl,Tags,PageUrl,Description
SK0184715-US20250713-203358,"DT Swiss DT Swiss Spacer Sleeve - 10.1mm, for 3-pawl",Parts,3.4,1.02,,,"SK0184715-US20250713-203358-0-1752410064-dt-swiss-dt-swiss-spacer-sleeve---10.1mm,-for-3-pawl-422061-3322768-1.png","https://www.sefiles.net/images/library/large/dt-swiss-dt-swiss-spacer-sleeve---10.1mm,-for-3-pawl-422061-3322768-1.png",DT Swiss,https://www.epicentercycling.com/product/dt-swiss-dt-swiss-spacer-sleeve-10.1mm-for-3-pawl-422061-1.htm,"<p> <p> <p> Parts for repair and maintenance of DT Swiss hubs.<br>- DT Swiss Spacer Sleeve - 10.1mm, for 3-pawl </p> </p> </p> </p> <p> <h2>Part Numbers</h2> <p> <table> <thead> <tr> <th>UPC</th> <th>MPN</th> <th>Store SKU</th> </tr> </thead> <tbody> <tr> <td> 7630024330741 </td> <td> HCDXXX00S4190S </td> <td>DTS2835872G</td> </tr> </tbody> </table> </p> </p> <p> <br>"
SK0140833-US20250713-203358,RockShox Deluxe Nude RLC3 C1,Parts,499.00,99.8,,,SK0140833-US20250713-203358-0-1752410063-rockshox-deluxe-nude-rlc3-c1-416300-1.jpg,https://www.sefiles.net/images/library/large/rockshox-deluxe-nude-rlc3-c1-416300-1.jpg,RockShox,https://www.route66bicycles.com/product/rockshox-deluxe-nude-rlc3-c1-416300-1.htm,"<p> <p> <p> Developed with the Scott development team to provide riders the ultimate RockShox rear shock that features proprietary NUDE technology with Descend mode, Traction Control mode, and Lockout mode – all controlled by the push of a remote. Light, and efficient in true Deluxe style.<br>- Eye-To-Eye: 165x45<br>- Default Settings: Progressive 0Pos/0Neg Tokens, W/1 Efficiency Token, LM Tune, 430 Lockout<br>- Damping: RLC3<br>- Damping Adjustments: External rebound, 3 position compression (Open/Pedal/Lock)<br>- Spring Adjustments: Air pressure, Bottomless tokens<br>- Spring Type: DebonAir+ Progressive<br>- Frame Compatibility: Scott Spark<br>- Shaft Eyelet: Trunnion<br>- Body Eyelet: Standard </p> </p> </p> </p> <p> <h2>Part Numbers</h2> <p> <table> <thead> <tr> <th>Option</th> <th>UPC</th> <th>MPN</th> <th>Store SKU</th> </tr> </thead> <tbody> <tr> <td> Black / 165 x 45mm </td> <td> 710845882968 </td> <td> 00.4118.406.000 </td> <td>ROC134861826T</td> </tr> </tbody> </table> </p> </p> <p> <br>"
