SKU,Name,Categories,Regular price,Sale price,Attribute 1 value(s),Attribute 1 name,Images,ImagesUrl,Tags,PageUrl,Description
SK2025088-UK20260417-084827,KERATIN SILK PROTEIN HAIR SHAMPOO 700 ml / 23.6 fl oz,Beauty&PersonalCare,44.99,13.49,,,SK2025088-UK20260417-084827-0.jpg,https://www.gosupps.com/media/catalog/product/cache/25/image/9df78eab33525d08d6e5fb8d27136e95/6/1/61Mfc8jVlQL.jpg,THE FLOWER MEN,https://www.gosupps.com/keratin-silk-protein-hair-shampoo-700-ml-23-6-fl-oz.html,<p> </br></br> </p></br>
SK2025089-UK20260417-084827,Bab Moisturising Emulsion Light Texture SPF 10-50ml,Beauty&PersonalCare,189.97,47.49,,,SK2025089-UK20260417-084827-0.jpg,https://www.gosupps.com/media/catalog/product/cache/25/image/9df78eab33525d08d6e5fb8d27136e95/5/1/51Em4E1TwPL.jpg,Babe,https://www.gosupps.com/bab-moisturising-emulsion-light-texture-spf-10-50ml.html,<p> </br></br> </p></br>
